timestamp,x,y,z
20,1,26,-250
77,-1,25,-250
132,0,26,-254
188,-1,25,-248
245,-1,26,-252
300,0,27,-249
356,-9,25,-246
412,9,26,-242
468,40,26,-241
524,73,40,-251
581,94,36,-243
638,105,35,-237
695,110,31,-222
753,120,25,-226
810,142,30,-211
868,143,28,-202
925,145,27,-215
982,150,26,-206
1040,154,24,-202
1097,157,21,-200
1154,156,22,-199
1212,159,24,-198
1269,162,24,-199
1327,162,23,-198
1384,162,23,-196
1441,162,23,-200
1499,161,23,-198
1556,162,22,-199
1614,159,23,-200
1671,154,24,-206
1728,152,24,-210
1786,142,25,-218
1843,128,26,-219
1901,111,24,-223
1957,94,35,-227
2013,87,26,-239
2070,54,29,-239
2126,38,30,-240
2182,12,36,-252
2239,-6,36,-253
2296,-28,28,-249
2354,-33,29,-252
2411,-38,23,-240
2468,-54,9,-230
2525,-45,29,-245
2582,-36,39,-258
2640,-38,36,-248
2697,-48,28,-244
2755,-42,28,-249
2812,-31,30,-246
2869,-29,30,-249
2927,-30,29,-245
2984,-33,28,-246
