timestamp,x,y,z
60,-31,33,-246
118,-32,34,-248
176,-31,33,-250
234,-31,32,-246
292,-31,33,-251
350,-31,32,-246
407,-32,36,-247
465,-30,34,-247
523,-31,34,-247
581,-31,33,-246
639,-30,33,-248
696,-31,33,-247
754,-29,34,-245
812,-30,33,-246
870,-29,34,-248
928,-31,36,-246
986,-31,34,-246
1043,-30,34,-249
1101,-30,33,-246
1159,-32,36,-248
1217,-30,34,-245
1275,-31,36,-247
1332,-32,36,-246
1390,-30,34,-246
1448,-25,33,-249
1506,-30,35,-247
1564,-30,34,-247
1621,-32,34,-247
1679,-28,34,-246
1737,-29,34,-247
1795,-32,37,-249
1853,-29,33,-246
1910,-30,34,-250
1968,-32,36,-246
2026,-30,35,-249
2084,-28,34,-245
2142,-28,32,-247
2200,-30,34,-247
2257,-30,33,-248
2315,-30,34,-247
2373,-30,33,-246
2431,-30,36,-247
2489,-29,34,-247
2547,-31,34,-249
2604,-30,35,-247
2662,-28,35,-249
2720,-27,36,-247
2778,-28,34,-246
2836,-30,33,-249
2893,-28,34,-248
2951,-30,34,-247
3009,-29,35,-247
