timestamp,x,y,z
40,103,62,-223
100,103,64,-229
158,97,62,-225
218,100,62,-223
278,100,61,-225
337,99,56,-225
397,101,53,-230
457,121,22,-246
516,113,4,-219
577,123,-13,-213
638,129,-53,-219
699,123,-56,-206
760,120,-86,-189
821,122,-96,-194
882,123,-98,-195
944,119,-109,-190
1006,123,-120,-182
1068,125,-117,-177
1130,135,-122,-179
1192,136,-127,-178
1254,127,-135,-169
1317,124,-136,-165
1379,121,-138,-160
1441,132,-147,-172
1503,119,-131,-160
1565,120,-134,-172
1627,135,-121,-185
1689,132,-122,-175
1751,142,-107,-184
1813,127,-108,-173
1874,137,-97,-192
1935,128,-71,-188
1997,145,-72,-202
2058,131,-35,-200
2118,136,-7,-210
2177,153,-4,-243
2236,119,2,-215
2295,98,21,-205
2355,106,47,-226
2415,116,56,-256
2475,115,59,-227
2534,99,53,-208
2594,103,57,-219
2654,104,62,-228
2713,98,56,-225
2773,103,60,-214
2833,106,58,-223
2893,110,58,-226
2953,101,57,-219
3013,114,60,-227
