timestamp,x,y,z,label
0.0377,82,53,-232,jump
0.0943,81,55,-232,jump
0.1511,84,54,-233,jump
0.2078,83,52,-231,jump
0.2643,84,52,-230,jump
0.3211,88,54,-243,jump
0.3778,88,85,-251,jump
0.4365,117,-21,-244,jump
0.4951,106,-42,-220,jump
0.5535,61,-130,-185,jump
0.6118,73,-152,-146,jump
0.6703,83,-161,-143,jump
0.7285,90,-190,-171,jump
0.787,65,-190,-142,jump
0.8452,67,-184,-149,jump
0.9036,79,-181,-156,jump
0.962,73,-203,-143,jump
1.0202,87,-170,-154,jump
1.0795,104,-167,-152,jump
1.1378,79,-186,-150,jump
1.1963,82,-185,-160,jump
1.2546,79,-181,-140,jump
1.313,97,-184,-161,jump
1.3713,95,-136,-146,jump
1.4298,146,-84,-215,jump
1.4882,108,-69,-180,jump
1.5465,156,-51,-231,jump
1.6049,135,-20,-201,jump
1.6634,127,-13,-207,jump
1.7207,134,36,-243,jump
1.7781,125,21,-220,jump
1.8357,128,47,-214,jump
1.893,118,61,-207,jump
1.9504,124,84,-226,jump
2.0069,95,94,-207,jump
2.0656,103,112,-221,jump
2.1229,92,111,-211,jump
2.1806,92,110,-203,jump
2.2381,89,114,-211,jump
2.2956,86,112,-211,jump
2.3532,87,119,-209,jump
2.4109,95,122,-214,jump
2.4683,86,121,-204,jump
2.5259,94,121,-203,jump
2.5834,91,119,-204,jump
2.641,96,120,-215,jump
2.6985,91,119,-209,jump
2.7561,93,120,-210,jump
2.8138,94,117,-207,jump
2.8713,97,119,-209,jump
2.929,90,115,-206,jump
2.9863,93,109,-205,jump
0.0644,92,48,-230,jump
0.1214,79,52,-232,jump
0.1784,85,49,-232,jump
0.2354,92,51,-232,jump
0.2924,89,51,-234,jump
0.3494,83,55,-233,jump
0.4073,111,44,-261,jump
0.4646,89,-1,-254,jump
0.5224,90,-27,-237,jump
0.5803,73,-74,-189,jump
0.6392,94,-137,-193,jump
0.6979,97,-112,-193,jump
0.7565,99,-140,-184,jump
0.8154,75,-162,-162,jump
0.8737,77,-164,-165,jump
0.932,70,-182,-155,jump
0.9903,72,-192,-155,jump
1.0485,68,-192,-133,jump
1.1068,69,-190,-140,jump
1.1652,63,-208,-121,jump
1.2236,63,-203,-126,jump
1.2819,64,-195,-125,jump
1.3402,78,-196,-144,jump
1.3986,71,-189,-136,jump
1.4569,83,-199,-152,jump
1.5152,78,-182,-151,jump
1.5737,95,-152,-156,jump
1.6318,84,-173,-143,jump
1.6902,129,-71,-175,jump
1.7497,128,-141,-205,jump
1.8079,135,-42,-248,jump
1.8665,107,-91,-201,jump
1.9246,128,-61,-219,jump
1.983,114,-66,-197,jump
2.0416,129,-60,-217,jump
2.0979,89,33,-219,jump
2.1565,125,-14,-244,jump
2.2127,88,21,-231,jump
2.2693,71,37,-240,jump
2.3258,92,60,-242,jump
2.3822,81,60,-245,jump
2.4387,83,62,-235,jump
